Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 02, 2015;458.25;459.00;451.25;452.25;452.25;794
Dec 01, 2015;460.00;464.00;456.50;456.50;456.50;1,375
Nov 30, 2015;460.75;464.75;458.75;460.00;460.00;9,457
Nov 27, 2015;479.00;479.50;465.00;465.75;465.75;22,654
Nov 25, 2015;484.00;487.50;479.00;479.25;479.25;38,901
Nov 24, 2015;494.75;495.00;483.25;484.25;484.25;32,158
Nov 23, 2015;485.00;497.25;484.00;495.00;495.00;40,48
Nov 20, 2015;489.50;494.75;486.50;488.50;488.50;39,212
Nov 19, 2015;483.25;492.75;481.50;490.75;490.75;42,704
Nov 18, 2015;487.50;490.25;480.50;483.25;483.25;49,902
Nov 17, 2015;493.50;494.00;484.50;487.50;487.50;73,394
Nov 16, 2015;494.75;498.00;490.00;494.00;494.00;41,435
Nov 13, 2015;496.25;499.75;491.25;495.75;495.75;50,136
Nov 12, 2015;495.00;500.50;492.50;498.00;498.00;87,359
Nov 11, 2015;491.00;498.00;490.00;494.75;494.75;83,843
Nov 10, 2015;502.00;504.00;488.00;490.75;490.75;133,293
Nov 09, 2015;520.50;521.25;501.25;501.75;501.75;131,56
Nov 06, 2015;524.50;526.00;517.75;523.25;523.25;91,783
Nov 05, 2015;524.25;529.00;520.25;526.25;526.25;115,823
Nov 04, 2015;516.00;530.75;508.25;526.25;526.25;112,473
Nov 03, 2015;507.50;517.00;505.75;516.50;516.50;64,386
Nov 02, 2015;520.00;522.75;506.75;508.00;508.00;70,898
Oct 30, 2015;515.25;523.50;515.00;522.00;522.00;85,681
Oct 29, 2015;506.00;517.50;505.00;515.00;515.00;94,994
Oct 28, 2015;507.75;508.75;500.00;506.00;506.00;71,717
Oct 27, 2015;510.00;518.00;506.50;509.25;509.25;82,173
Oct 26, 2015;493.25;512.00;493.25;509.00;509.00;108,092
Oct 23, 2015;490.75;494.00;484.75;490.50;490.50;71,235
Oct 22, 2015;494.75;500.75;490.50;490.75;490.75;50,127
Oct 21, 2015;491.75;497.50;490.25;494.75;494.75;42,879
Oct 20, 2015;486.25;491.75;483.25;491.25;491.25;46,451
Oct 19, 2015;491.25;493.50;484.25;485.75;485.75;71,086
Oct 16, 2015;502.25;506.00;489.75;492.25;492.25;91,068
